Figure,Algorithm,TotalReturn(%),Annualized(%),Sharpe,MaxDD
Fig.8,SKA (R-SKA),227.80,7.70,0.72,-7.57%
Fig.8,AKA (R-AKA),127.92,5.28,0.53,-8.31%
Fig.8,S-SKA,105.30,4.60,0.74,-4.30%
Fig.8,S-AKA,26.75,1.49,0.20,-13.15%
Fig.8,CA-SKA,44.96,2.35,0.18,-35.02%
Fig.8,CA-AKA,85.54,3.94,0.32,-28.24%
Fig.8,T-NOTE,97.55,4.35,0.64,-4.30%
Fig.8,S&P 500,69.57,3.36,0.21,-39.92%
Fig.8,Ceiling,778.57,14.55,1.35,0.00%
Fig.9,T-NOTE,97.55,4.35,0.64,-4.30%
Fig.9,Stocks,69.57,3.36,0.21,-39.92%
Fig.9,Q-SKA,183.44,6.73,0.85,-4.30%
Fig.9,Q-AKA,35.29,1.91,0.18,-30.32%
Fig.9,QS-SKA,74.49,3.54,0.41,-22.74%
Fig.9,QS-AKA,150.34,5.90,0.63,-11.18%
Fig.9,A2,99.86,4.42,0.95,-3.24%
Fig.9,A3,95.94,4.29,0.50,-14.99%
Fig.9,A4,85.71,3.95,0.30,-26.58%
